鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
北區,房地(土地+建物)+車位,臺南市北區和緯路三段和文賢三街口,22.68,住,,,1150103,土地2建物1車位1,十九層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.95,3,2,2,有,無,28420000,178478,坡道平面,31.36,1900000,,RPVNMLNKJHLGFAD87CB,國泰原美,A棟A5-19F號,
北區,房地(土地+建物)+車位,臺南市北區和緯路三段和文賢三街口,22.68,住,,,1150103,土地2建物1車位1,十四層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,179.95,3,2,2,有,無,27820000,175449,坡道平面,31.36,1750000,,RPWNMLNKJHLGFAD97CB,國泰原美,A棟A5-14F號,
北區,房地(土地+建物)+車位,臺南市北區和緯路三段和文賢三街口,29.02,住,,,1150103,土地2建物1車位2,十五層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,253.24,3,2,2,有,無,37250000,175047,坡道平面,62.72,3900000,,RPXNMLNKJHLGFAD08CB,國泰原美,A棟A1-15F號,
東區,房地(土地+建物)+車位,臺南市東區仁和路62號一樓旁,13.64,住,,,1150101,土地6建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.01,2,2,2,有,無,14280000,144273,坡道平面,29.24,2050000,,RPPNMLNKJHLGFCD47CB,宏福悅,B棟B5-12F號,
東區,房地(土地+建物)+車位,臺南市東區仁和路62號一樓旁,14.32,住,,,1150110,土地6建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.48,2,2,2,有,無,14500000,138391,坡道平面,29.24,2150000,,RPRNMLNKJHLGFCD67CB,宏福悅,C棟C12-8F號,
東區,房地(土地+建物)+車位,臺南市東區仁和路62號一樓旁,11.28,住,,,1150106,土地6建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.13,1,2,1,有,無,11300000,134596,坡道平面,26.92,1850000,,RPSNMLNKJHLGFCD77CB,宏福悅,C棟C8-3F號,
仁德區,房地(土地+建物)+車位,臺南市仁德區北保東路46巷,20.92,住,,,1150104,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.39,2,2,1,有,無,9820000,92218,坡道平面,32.0,1300000,,RPPNMLNKJHLGFID08CB,昕悅東城,B棟6號,
永康區,房地(土地+建物)+車位,臺南市永康區平道路與永運一路交叉路口,15.83,商,,,1150102,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.21,2,2,2,有,無,12950000,117139,坡道平面,34.17,1700000,,RPUNMLNKJHLGFKD78CB,櫻花南科之櫻,A7棟4號,
永康區,房地(土地+建物)+車位,臺南市永康區平道路與永運一路交叉路口,19.78,商,,,1150110,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.32,3,2,2,有,無,16360000,120182,坡道平面,34.17,1800000,,RPVNMLNKJHLGFKD88CB,櫻花南科之櫻,A2棟12號,
永康區,房地(土地+建物)+車位,臺南市永康區忠孝路與忠孝路76巷交叉口,16.6,商,,,1150103,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,157.38,3,2,2,有,無,19100000,133555,坡道平面,28.22,1850000,,RPQOMLNKJHLGFKD48CB,聯上豐實,A棟6號,
